,price,type,address,url,agent_url,postcode,number_bedrooms,search_date
89,290000.0,3 bedroom semi-detached house for sale,"Westcott Drive, Durham, DH1",http://www.rightmove.co.uk/properties/119653283#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Strike/Tyne-Tees-and-Border-223625.html,DH1,3.0,2022-02-19 23:43:34.882786
90,290000.0,2 bedroom barn conversion for sale,"Harvest View, Hag House Farm, Durham, DH1",http://www.rightmove.co.uk/properties/119042057#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Copeland-Residential/Chester-Le-Street-89051.html,DH1,2.0,2022-02-19 23:43:34.882786
91,290000.0,3 bedroom semi-detached house for sale,"North End, Durham, DH1",http://www.rightmove.co.uk/properties/118750109#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Ben-Charles/Durham-83492.html,DH1,3.0,2022-02-19 23:43:34.882786
92,270000.0,3 bedroom detached house for sale,"The Cuthbert, Hartley Gardens, Gilesgate, Durham City, 978 SQFT",http://www.rightmove.co.uk/properties/115284941#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Urban-Base-Executive/North-East-15013.html,,3.0,2022-02-19 23:43:34.882786
93,260000.0,3 bedroom semi-detached house for sale,"St. Bedes Close, Crossgate Moor, Durham, Durham, DH1 4AB",http://www.rightmove.co.uk/properties/118849145#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Pattinson-Estate-Agents/Gilesgate-74630.html,DH1,3.0,2022-02-19 23:43:34.882786
94,260000.0,2 bedroom flat for sale,"Highgate, Milburngate, Durham, Durham, DH1 4GA",http://www.rightmove.co.uk/properties/111884759#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Pattinson-Estate-Agents/Gilesgate-74630.html,DH1,2.0,2022-02-19 23:43:34.882786
95,260000.0,3 bedroom town house for sale,"Kirkwood Drive, Nevilles Cross, Durham",http://www.rightmove.co.uk/properties/120153902#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Robinsons/Durham-42734.html,,3.0,2022-02-19 23:43:34.882786
96,259950.0,4 bedroom detached house for sale,"Pennine View, Sherburn Hill, Durham",http://www.rightmove.co.uk/properties/120008417#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Robinsons/Durham-42734.html,,4.0,2022-02-19 23:43:34.882786
97,250000.0,2 bedroom detached bungalow for sale,"Hylton Road, Newton Hall, Durham",http://www.rightmove.co.uk/properties/117525752#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Newfield-Estates/Durham-109595.html,,2.0,2022-02-19 23:43:34.882786
98,250000.0,4 bedroom semi-detached house for sale,"Mason's Court, Rainton Gate, DH4",http://www.rightmove.co.uk/properties/87625039#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Copeland-Residential/Chester-Le-Street-89051.html,DH4,4.0,2022-02-19 23:43:34.882786
